[17:50:43] [info] VEKTOR: GLFW Window hints set
[17:50:46] [trace] VEKTOR: Delta time: 0.0044960976 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012152195 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 221.398, 544.805
[17:50:46] [trace] VEKTOR: Event received: KeyPressedEvent: 87 (0 repeats)
[17:50:46] [trace] VEKTOR: Event received: KeyTypedEvent: 119
[17:50:46] [trace] VEKTOR: Delta time: 0.0040528774 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012686014 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 216.391, 548.707
[17:50:46] [trace] VEKTOR: Delta time: 0.0046334267 seconds
[17:50:46] [trace] VEKTOR: Event received: KeyReleasedEvent: 68
[17:50:46] [trace] VEKTOR: Delta time: 0.012002468 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0048713684 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.011829376 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0042169094 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012396336 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0038764477 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012789249 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.004590988 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.01213789 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.004075289 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012608051 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.004777193 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.011815071 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0038487911 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0128519535 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0046060085 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.01209116 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.0040972233 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.012533665 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 209.562, 550.188
[17:50:46] [trace] VEKTOR: Event received: KeyReleasedEvent: 87
[17:50:46] [trace] VEKTOR: Delta time: 0.005044937 seconds
[17:50:46] [trace] VEKTOR: Delta time: 0.011584997 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 206.754, 551.121
[17:50:46] [trace] VEKTOR: Delta time: 0.0038144588 seconds
[17:50:46] [trace] VEKTOR: Event received: MouseMovedEvent: 203.195, 551.629
[17:50:46] [trace] VEKTOR: Delta time: 0.0128548145 seconds
[17:50:46] [trace] VEKTOR: Event received: KeyPressedEvent: 68 (0 repeats)
